Loans & Deposits Outstanding as on
Thursday 15 October 2015
REPORT NO:19
-
MOD	CONTRACT_REF_NO	CUSTOMER_NAME1	RM	STAT	CATG	PROD	TYP	BASE	DR_SETL_AC	CCY	VAL_DT	MAT DT	REMARKS	RATE	CONT_AMOUNT	OUTS BAL
															Count All:	
0
MOD	CONTRACT_REF_NO	CUSTOMER_NAME1	RM	STAT	CATG	PROD	TYP	BASE	DR_SETL_AC	CCY	VAL_DT	MAT DT	REMARKS	RATE	CONT_AMOUNT	OUTS BAL
															Count All:	
100
MOD	CONTRACT_REF_NO	CUSTOMER_NAME1	RM	STAT	CATG	PROD	TYP	BASE	DR_SETL_AC	CCY	VAL_DT	MAT DT	REMARKS	RATE	CONT_AMOUNT	OUTS BAL
															Count All:	
201
MOD	CONTRACT_REF_NO	CUSTOMER_NAME1	RM	STAT	CATG	PROD	TYP	BASE	DR_SETL_AC	CCY	VAL_DT	MAT DT	REMARKS	RATE	CONT_AMOUNT	OUTS BAL
LD	000SFDF090590001	DAVID PIERIS INTERNATIONAL(PVT)LTD	201	NORM	TRADPVT	SFDF	D	000550	0199999852	USD	27/Feb/09	28/May/09		3.75	150,000.00	0.00
LD	000SFDF091480002	DAVID PIERIS INTERNATIONAL(PVT)LTD	201	NORM	TRADPVT	SFDF	D	000550	0199999852	USD	28/May/09	28/Aug/09		3.75	151,265.63	0.00
LD	000SFDF091550001	DAVID PIERIS INTERNATIONAL(PVT)LTD	201	NORM	TRADPVT	SFDF	D	000550	0150005502	USD	04/Jun/09	04/Jun/10		3.75	50,000.00	0.00
LD	000SFDF092450002	DAVID PIERIS INTERNATIONAL(PVT)LTD	201	NORM	TRADPVT	SFDF	D	000550	0199999852	USD	26/Nov/09	24/Feb/10		3.75	153,800.41	0.00
LD	000SFDF093350001	DAVID PIERIS INTERNATIONAL(PVT)LTD	201	NORM	TRADPVT	SFDF	D	000550	0199999852	USD	26/Nov/09	26/Dec/09		3.75	153,800.41	0.00
	5														Count All:	
AK1
MOD	CONTRACT_REF_NO	CUSTOMER_NAME1	RM	STAT	CATG	PROD	TYP	BASE	DR_SETL_AC	CCY	VAL_DT	MAT DT	REMARKS	RATE	CONT_AMOUNT	OUTS BAL
															Count All:	
BT1
MOD	CONTRACT_REF_NO	CUSTOMER_NAME1	RM	STAT	CATG	PROD	TYP	BASE	DR_SETL_AC	CCY	VAL_DT	MAT DT	REMARKS	RATE	CONT_AMOUNT	OUTS BAL
															Count All:	
CB1
MOD	CONTRACT_REF_NO	CUSTOMER_NAME1	RM	STAT	CATG	PROD	TYP	BASE	DR_SETL_AC	CCY	VAL_DT	MAT DT	REMARKS	RATE	CONT_AMOUNT	OUTS BAL
LD	000CDLY132140002	GAURAV P. SHAH	CB1	NORM	22-PER	CDLY	D	001698	0450016982	TZS	26/Jul/13	02/Jun/14		13.50	490,000,000.00	0.00
LD	000CDLY132140003	PRAKASH I.SHAH	CB1	NORM	22-PER	CDLY	D	002414	0650024141	TZS	01/Aug/13	27/Aug/13		13.50	1,000,000,000.00	0.00
LD	000CDLY132390001	PRAKASH I.SHAH	CB1	NORM	22-PER	CDLY	D	002414	0650024141	TZS	27/Aug/13	28/Dec/13		13.50	408,654,794.52	0.00
LD	000CDLY132730001	PRAKASH I.SHAH	CB1	NORM	22-PER	CDLY	D	002414	0650024141	TZS	30/Sep/13	30/Nov/13		12.00	200,000,000.00	0.00
LD	000CDLY132730002	PRAKASH I.SHAH	CB1	NORM	22-PER	CDLY	D	002414	0650024141	TZS	30/Sep/13	30/Nov/13		12.00	200,000,000.00	0.00
